company_name,labeled_location,address,latitude,longitude,labeled_county,computed_county,location_city,address_city,address_state,outside_polygon,duplicate_cluster_id,duplicate_risk_class,conflict_flags,evidence_score
Ecoplastic America Corporation,"Greensboro, Greene County","4800 Highway 301 S., Register, GA 30452",32.3288665,-81.8739395,Greene,Bulloch,Greensboro,Register,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Ecoplastic Corporation,"Rome, Floyd County","25 Siebald St, Statesboro, GA 30458",32.4500733,-81.7827371,Floyd,Bulloch,Rome,Statesboro,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Elan Technology Inc.,"Atlanta, Fulton County","169 Elan Court, Midway, GA 31320",31.7958661,-81.412058,Fulton,Liberty,Atlanta,Midway,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Enchem America Inc.,"Cumming, Forsyth County","648 Highway 334, Commerce, GA 30530",34.1720636,-83.4364623,Forsyth,Jackson,Cumming,Commerce,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Enplas USA Inc.,"Covington, Newton County","1901 West Oak Circle, Marietta, GA 30062",33.9867797,-84.522309,Newton,Cobb,Covington,Marietta,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Erdrich USA Inc.,"Greensboro, Greene County","112 Willie Paulk Parkway, Dublin, GA 31021",32.5001482,-82.9817196,Greene,Laurens,Greensboro,Dublin,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
F&P Georgia Manufacturing,"Toccoa, Stephens County","88 Enterprise Drive SE, Rome, GA 30161",34.1708696,-85.1938687,Stephens,Floyd,Toccoa,Rome,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
FOX Factory,"Covington, Newton County","2055 Sugarloaf Circle, Suite 300, Duluth, GA 30097",33.9864549,-84.0897605,Newton,Gwinnett,Covington,Duluth,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
FREYR Battery,"Marietta, Cobb County","601 10th St NW, Suite 400, Atlanta, GA 30318",33.7817149,-84.4078083,Cobb,Fulton,Marietta,Atlanta,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Fanello Industries Inc.,"Cumming, Forsyth County","50 E Main Street, Lavonia, GA 30553",34.4200267,-83.0970583,Forsyth,Franklin,Cumming,Lavonia,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
