company_name,labeled_location,address,latitude,longitude,computed_county,labeled_county,address_city,address_state
GSC Steel Stamping LLC,"Gainesville, Hall County","104 International Pkwy, Adairsville, GA 30103",34.3845755,-84.9241385,Bartow,Hall,Adairsville,GA
Global Powertrain Systems LLC,"Rome, Floyd County","300 Logistics Parkway, Jefferson, GA 30549",34.1890046,-83.5972972,Jackson,Floyd,Jefferson,GA
Goodyear Tire & Rubber Co.,"Athens, Clarke County","1420 Phoenix Blvd, Suite 300, Atlanta, GA 30349",33.6143207,-84.4387649,Clayton,Clarke,Atlanta,GA
Great Dane LP,Muscogee County,"602 E Lathrop Ave, Savannah, GA 31415",32.0869786,-81.1109775,Chatham,Muscogee,Savannah,GA
Great Dane Trailers,"Tifton, Tift County","602 E Lathrop Ave, Savannah, GA 31415",32.0869786,-81.1109775,Chatham,Tift,Savannah,GA
Grudem,"Lawrenceville, Gwinnett County","1245 Industrial Blvd, Gainesville, GA 30501",34.2762316,-83.8348776,Hall,Gwinnett,Gainesville,GA
HELLA Automotive Sales Inc.,"Gainesville, Hall County","2018 Powers Ferry Rd SE, Suite 400, Atlanta, GA 30339",33.9022104,-84.4579122,Cobb,Hall,Atlanta,GA
HEXPOL Compounding Corp.,"Decatur, DeKalb County","1020 Plantation Way, Griffin, GA 30224",33.2928001,-84.3008919,Spalding,Dekalb,Griffin,GA
Haering Precision USA LP,Carroll County,"5000 Frontage Rd, Buford, GA 30518",34.2328208,-83.8634499,Hall,Carroll,Buford,GA
Haering Precision USA LP,"Dahlonega, Lumpkin County","5000 Frontage Rd, Buford, GA 30518",34.2328208,-83.8634499,Hall,Lumpkin,Buford,GA
Hollingsworth & Vose Co.,"Bainbridge, Decatur County","111 Hollingsworth & Vose Rd, Hawkinsville, GA 31036",32.2835422,-83.4667907,Pulaski,Decatur,Hawkinsville,GA
Honda Development & Manufacturing,"Pembroke, Bryan County","1000 Honda Dr, Tallapoosa, GA 30176",34.2575874,-84.5070413,Cherokee,Bryan,Tallapoosa,GA
Hwashin,"Jefferson, Jackson County","1465 Troup Industrial Blvd, LaGrange, GA 30240",33.6931709,-85.2753961,Haralson,Jackson,Lagrange,GA
Hyundai MOBIS (Georgia),"Fayetteville, Fayette County","300 Hyundai MOBIS Dr, West Point, GA 31833",32.8772531,-85.183728,Troup,Fayette,West Point,GA
Hyundai Motor Group,"McDonough, Henry County","700 Hyundai Blvd, Ellabell, GA 31308",32.159233,-81.502963,Bryan,Henry,Ellabell,GA
Hyundai Transys Georgia Powertrain,"Dublin, Laurens County","100 Powertrain Way, West Point, GA 31833",32.903183,-85.159941,Troup,Laurens,West Point,GA
Hyundai Transys Georgia Seating Systems,"Marietta, Cobb County","801 Transys Pkwy, West Point, GA 31833",32.8772531,-85.183728,Troup,Cobb,West Point,GA
IMMI,"Jefferson, Jackson County","2002 Industrial Park Dr, Dublin, GA 31021",32.511763,-82.923552,Laurens,Jackson,Dublin,GA
IMS Gear Georgia Inc.,"Fayetteville, Fayette County","300 Satellite Blvd NE, Suwanee, GA 30024",34.035115,-84.064265,Gwinnett,Fayette,Suwanee,GA
Inalfa Roof Systems Inc.,"Lawrenceville, Gwinnett County","100 Inalfa Dr, Acworth, GA 30102",34.07068,-84.589406,Cobb,Gwinnett,Acworth,GA
JAC Products Inc.,"Clarkesville, Habersham County","120 Logistics Pkwy, Jefferson, GA 30549",34.10601,-83.589021,Jackson,Habersham,Jefferson,GA
JTEKT North America Corp.,"Canton, Cherokee County","301 Teco Dr, Pendergrass, GA 30567",34.130329,-83.7648529,Jackson,Cherokee,Pendergrass,GA
Jefferson Southern Corp.,"Dahlonega, Lumpkin County","1 Jefferson Southern Dr, Commerce, GA 30529",34.197573,-84.0452959,Forsyth,Lumpkin,Commerce,GA
Jefferson Southern Corporation,"Monroe, Walton County","1 Jefferson Southern Dr, Commerce, GA 30529",34.197573,-84.0452959,Forsyth,Walton,Commerce,GA
"Joon Georgia, Inc.",Troup County,"100 Industrial Park Rd, West Point, GA 31833",32.314089,-84.78927,Chattahoochee,Troup,West Point,GA
